date,open,high,low,close,volume
2025-11-11,50280,50910,50280,50910,120
2025-11-12,49800,51060,49800,51060,8991
2025-11-15,50010,50960,49740,50960,1316
2025-11-16,50990,51000,50990,51000,46193
2025-11-17,52180,52180,52180,52180,21
2025-11-18,52420,52420,50790,50790,2083
2025-11-19,51140,52040,51140,52020,15728
2025-11-22,52000,52390,52000,52200,345
2025-11-23,51820,52990,51820,52300,26341
2025-11-25,52720,53490,52720,53080,26103
2025-11-26,53980,53980,52470,52470,9250
2025-11-29,53860,53860,52040,53380,110775
2025-11-30,53160,53160,53150,53160,2250029
2025-12-01,54640,54640,53260,53260,22521
2025-12-02,54750,54750,53730,54690,1993337
2025-12-03,55870,55870,55000,55000,14835
2025-12-06,57000,57040,56800,56800,26323
2025-12-07,56970,56970,56350,56850,819
2025-12-08,57500,57500,56000,56800,4887
2025-12-09,56910,57100,56490,57000,3299
2025-12-10,58440,58440,58200,58200,27722
2025-12-13,60000,60000,59970,59970,721
2025-12-14,58670,60520,58240,60520,1137
2025-12-15,60420,60660,59590,60120,58917
2025-12-16,61140,61140,59840,59840,350468
2025-12-17,60260,60740,60260,60740,1223
2025-12-20,60390,61510,60390,61510,676865
2025-12-21,62830,62830,60750,61210,1659190
2025-12-22,61900,61900,61000,61000,21733
2025-12-23,62470,62520,60780,62190,31473
2025-12-24,62730,62880,62500,62880,711941
2025-12-27,64610,64750,63720,63800,785611
2025-12-28,63800,65520,62380,64530,3459987
2025-12-29,64760,64760,63340,64400,99218
2025-12-30,62160,62160,61960,61960,163583
2025-12-31,63600,63600,63450,63490,9678
2026-01-04,63000,63000,61950,62370,43287
2026-01-05,64000,64210,63190,64210,1672611
2026-01-06,64070,65720,64070,65720,277458
2026-01-07,67240,67240,64820,64850,64262
2026-01-10,64850,64850,63110,63110,65126
2026-01-11,64040,64100,63530,63530,26829
2026-01-12,63600,65580,63600,64000,22368
2026-01-13,64660,65140,63670,65140,44139
2026-01-14,62500,62500,62240,62240,188767
2026-01-18,63180,64070,63170,64070,1627267
2026-01-19,64560,64560,64060,64490,8366
2026-01-20,64490,66320,64490,66280,96795
2026-01-21,68030,68040,68030,68040,1036141
2026-01-24,66210,66210,66200,66200,1732
2026-01-25,66200,66200,66200,66200,359
2026-01-26,64550,64550,64220,64220,92815
2026-01-27,62720,62720,62450,62450,80801
2026-01-28,62240,62870,60890,60890,3630
2026-01-31,60590,60600,60590,60590,76057
2026-02-01,60000,60000,59920,59920,100
2026-02-02,60590,61100,60160,61100,391113
2026-02-03,61950,61950,59350,60400,191137
2026-02-07,61600,61650,60810,60990,217141
2026-02-08,62750,62750,61670,61670,50013
2026-02-10,60750,60750,60260,60260,210
2026-02-14,62000,62000,60130,60130,611
2026-02-15,59400,59400,59380,59380,40034
2026-02-16,57640,57640,57640,57640,179
2026-02-18,56840,56840,56710,56710,534
2026-02-21,56840,56840,56840,56840,20
2026-02-22,55140,55400,55137,55139,11482
2026-02-24,54295,54295,54295,54295,1
2026-02-25,55076,55076,55076,55076,19
2026-05-19,53424,56728,53424,56728,3455303
2026-05-20,57717,57717,57717,57717,9976233
2026-05-23,59448,59448,59448,59448,129531
2026-05-24,61231,61231,61231,61231,6687629
2026-05-25,63067,63067,61301,63067,13176717
2026-05-26,63045,64933,62200,64933,14143703
2026-05-30,65606,65606,65606,65606,1500476
2026-05-31,67574,67574,67574,67574,7991890
2026-06-01,69601,69601,67573,69601,24442096
2026-06-02,71517,71517,69631,71517,5609267
2026-06-03,73558,73558,70500,71537,9167889
2026-06-06,72900,72900,70705,72290,8760283
2026-06-07,73690,74006,72512,74006,7221533
2026-06-08,71752,71752,71752,71752,4823913
2026-06-09,73904,73904,73904,73904,2456296
2026-06-10,76121,76121,76121,76121,9400691
2026-06-13,78404,78404,78404,78404,4900371
2026-06-14,80756,80756,80756,80756,3535696
2026-06-15,83178,83178,83178,83178,1117044
2026-06-16,85673,85673,84673,85666,27900998
2026-06-17,84500,88224,83086,88224,11501101
2026-06-20,88750,88772,83602,85990,22614887
2026-06-21,85520,86000,83447,83447,10581579
2026-06-22,82302,84699,82302,84560,3892784
2026-06-23,84992,84993,83000,84411,5649153
2026-06-27,85500,86450,82555,83051,4499232
2026-06-28,82481,82481,82481,82481,575449
2026-06-29,80011,84200,80007,80506,4435009
2026-06-30,83591,83591,81552,83591,4014681
2026-07-01,83356,85742,83356,85742,1413057
2026-07-07,87500,87573,87392,87573,2571075
2026-07-08,87567,88770,84940,84940,4198682
2026-07-11,84806,86990,84806,84806,4496651
2026-07-12,82423,82423,82423,82423,495055
2026-07-13,79951,84400,79951,82200,7801371
2026-07-14,79255,83430,79063,81390,9265715
2026-07-15,82999,83989,81543,81651,9159676
2026-07-18,80143,81500,80142,80142,279455
2026-07-19,77739,80999,77739,80120,3971534
2026-07-20,80003,81382,80003,81382,687985
2026-07-21,83751,83751,83751,83751,355054
2026-07-22,86263,86263,85050,86263,8022073
2026-07-25,88830,88830,86270,87303,2950568
2026-07-26,90374,90374,90374,90374,807848
2026-07-27,93000,93000,90516,91460,7445606
2026-07-28,91877,93979,91800,92056,3376991
2026-07-29,89306,94340,89306,91000,10354960
2026-08-01,91152,92800,91000,91236,9516651
2026-08-02,94521,94521,93212,94521,2311200
2026-08-03,97329,97329,95400,97329,2675989
2026-08-05,100241,100241,100241,100241,643191
2026-08-08,103248,103248,103248,103248,2476966
2026-08-09,106000,106000,100171,103035,7008906
2026-08-10,103076,105550,101203,105000,5522148
2026-08-11,106509,106516,105401,106001,1415338
2026-08-15,107121,107122,104572,105000,3312781
2026-08-16,106100,108000,105302,107300,3541349
2026-08-17,108673,108674,108000,108674,2514070
2026-08-18,109602,111250,108663,110088,4668060
2026-08-19,110990,112918,109636,112918,1209237
2026-08-22,115665,115669,114000,115669,2918935
2026-08-23,115520,118975,115400,115500,3547701
2026-08-24,116342,117500,113787,115300,3883849
2026-08-25,119175,119305,116150,117500,1306401
2026-08-26,117829,121248,117829,121150,1606043
2026-08-29,121150,122937,120727,121000,1228120
2026-08-31,120720,121300,117770,118596,5088841
2026-09-01,121826,123814,116604,116604,2468142
2026-09-02,116370,117499,116370,116370,1028502
2026-09-05,117470,119866,117445,119866,2400443
2026-09-06,121000,122700,119800,122700,4475572
2026-09-07,123231,126203,123231,126203,8348893
2026-09-08,128800,129823,124662,129822,3671772
2026-09-09,129159,129159,125311,126990,4335422
2026-09-12,128390,130932,127200,130932,3159329
2026-09-13,132000,133404,130356,132500,3052719
2026-09-14,131550,133719,128473,129000,3801813
2026-09-15,130589,132969,130582,132303,4224311
2026-09-16,132900,133250,130177,132000,3059708
2026-09-19,132000,132000,127290,127290,1759542
2026-09-20,124103,127941,124103,127941,1213361
